depth,latitude,longitude,time,thetao
0.494025,20,107,1/01/1993,22.508835
0.494025,20,107,2/01/1993,22.575487
0.494025,20,107,3/01/1993,22.617237
0.494025,20,107,4/01/1993,22.635548
0.494025,20,107,5/01/1993,22.600391
0.494025,20,107,6/01/1993,22.60918
0.494025,20,107,7/01/1993,22.604786
0.494025,20,107,8/01/1993,22.674368
0.494025,20,107,9/01/1993,22.775444
0.494025,20,107,10/01/1993,22.762993
0.494025,20,107,11/01/1993,22.760063
0.494025,20,107,12/01/1993,22.780571
0.494025,20,107,13/01/1993,22.940977
0.494025,20,107,14/01/1993,22.994446
0.494025,20,107,15/01/1993,22.828913
0.494025,20,107,16/01/1993,22.442183
0.494025,20,107,17/01/1993,22.001251
0.494025,20,107,18/01/1993,21.699484
0.494025,20,107,19/01/1993,21.53908
0.494025,20,107,20/01/1993,21.468765
0.494025,20,107,21/01/1993,21.388195
0.494025,20,107,22/01/1993,21.281992
0.494025,20,107,23/01/1993,21.03003
0.494025,20,107,24/01/1993,20.748772
0.494025,20,107,25/01/1993,20.539293
0.494025,20,107,26/01/1993,20.401592
0.494025,20,107,27/01/1993,20.213354
0.494025,20,107,28/01/1993,19.988495
0.494025,20,107,29/01/1993,19.806849
0.494025,20,107,30/01/1993,19.727013
0.494025,20,107,31/01/1993,19.748253
0.494025,20,107,1/02/1993,19.798792
0.494025,20,107,2/02/1993,19.871304
0.494025,20,107,3/02/1993,20.022919
0.494025,20,107,4/02/1993,20.25071
0.494025,20,107,5/02/1993,20.52684
0.494025,20,107,6/02/1993,20.551744
0.494025,20,107,7/02/1993,20.6975
0.494025,20,107,8/02/1993,20.819086
0.494025,20,107,9/02/1993,20.794916
0.494025,20,107,10/02/1993,20.931883
0.494025,20,107,11/02/1993,20.957518
0.494025,20,107,12/02/1993,21.041018
0.494025,20,107,13/02/1993,21.073977
0.494025,20,107,14/02/1993,21.095951
0.494025,20,107,15/02/1993,21.124516
0.494025,20,107,16/02/1993,21.134037
0.494025,20,107,17/02/1993,21.195562
0.494025,20,107,18/02/1993,21.112064
0.494025,20,107,19/02/1993,21.076906
0.494025,20,107,20/02/1993,21.043947
0.494025,20,107,21/02/1993,21.046877
0.494025,20,107,22/02/1993,21.070314
0.494025,20,107,23/02/1993,21.048342
