longitude,latitude,time,sst,,,sst
106.9,19.9,1/01/2021 12:00,292.878394,,,19.728394
106.9,19.9,2/01/2021 12:00,292.854193,,,19.704193
106.9,19.9,3/01/2021 12:00,293.008429,,,19.858429
106.9,19.9,4/01/2021 12:00,292.85227,,,19.70227
106.9,19.9,5/01/2021 12:00,293.008002,,,19.858002
106.9,19.9,6/01/2021 12:00,293.094244,,,19.944244
106.9,19.9,7/01/2021 12:00,293.128027,,,19.978027
106.9,19.9,8/01/2021 12:00,293.313696,,,20.163696
106.9,19.9,9/01/2021 12:00,293.00736,,,19.85736
106.9,19.9,10/01/2021 12:00,293.057928,,,19.907928
106.9,19.9,11/01/2021 12:00,292.984839,,,19.834839
106.9,19.9,12/01/2021 12:00,291.973639,,,18.823639
106.9,19.9,13/01/2021 12:00,291.156592,,,18.006592
106.9,19.9,14/01/2021 12:00,291.067145,,,17.917145
106.9,19.9,15/01/2021 12:00,291.245581,,,18.095581
106.9,19.9,16/01/2021 12:00,291.29914,,,18.14914
106.9,19.9,17/01/2021 12:00,291.117712,,,17.967712
106.9,19.9,18/01/2021 12:00,291.127905,,,17.977905
106.9,19.9,19/01/2021 12:00,291.175055,,,18.025055
106.9,19.9,20/01/2021 12:00,291.376868,,,18.226868
106.9,19.9,21/01/2021 12:00,291.318457,,,18.168457
106.9,19.9,22/01/2021 12:00,291.00318,,,17.85318
106.9,19.9,23/01/2021 12:00,291.667914,,,18.517914
106.9,19.9,24/01/2021 12:00,291.83341,,,18.68341
106.9,19.9,25/01/2021 12:00,292.238531,,,19.088531
106.9,19.9,26/01/2021 12:00,291.781378,,,18.631378
106.9,19.9,27/01/2021 12:00,291.946234,,,18.796234
106.9,19.9,28/01/2021 12:00,291.513892,,,18.363892
106.9,19.9,29/01/2021 12:00,291.566382,,,18.416382
106.9,19.9,30/01/2021 12:00,291.704901,,,18.554901
106.9,19.9,31/01/2021 12:00,291.597388,,,18.447388
106.9,19.9,1/02/2021 12:00,291.770544,,,18.620544
106.9,19.9,2/02/2021 12:00,291.919653,,,18.769653
106.9,19.9,3/02/2021 12:00,292.096198,,,18.946198
106.9,19.9,4/02/2021 12:00,292.100653,,,18.950653
106.9,19.9,5/02/2021 12:00,292.199225,,,19.049225
106.9,19.9,6/02/2021 12:00,292.409125,,,19.259125
106.9,19.9,7/02/2021 12:00,292.490271,,,19.340271
106.9,19.9,8/02/2021 12:00,292.546576,,,19.396576
106.9,19.9,9/02/2021 12:00,292.125525,,,18.975525
106.9,19.9,10/02/2021 12:00,292.357703,,,19.207703
106.9,19.9,11/02/2021 12:00,292.363013,,,19.213013
106.9,19.9,12/02/2021 12:00,292.163336,,,19.013336
106.9,19.9,13/02/2021 12:00,292.55741,,,19.40741
106.9,19.9,14/02/2021 12:00,292.689124,,,19.539124
106.9,19.9,15/02/2021 12:00,293.106146,,,19.956146
106.9,19.9,16/02/2021 12:00,292.944678,,,19.794678
106.9,19.9,17/02/2021 12:00,292.652594,,,19.502594
106.9,19.9,18/02/2021 12:00,292.866309,,,19.716309
106.9,19.9,19/02/2021 12:00,292.923865,,,19.773865
106.9,19.9,20/02/2021 12:00,293.060248,,,19.910248
106.9,19.9,21/02/2021 12:00,293.804236,,,20.654236
106.9,19.9,22/02/2021 12:00,293.607306,,,20.457306
106.9,19.9,23/02/2021 12:00,294.030249,,,20.880249
106.9,19.9,24/02/2021 12:00,294.097388,,,20.947388
106.9,19.9,25/02/2021 12:00,294.115454,,,20.965454
106.9,19.9,26/02/2021 12:00,294.209357,,,21.059357
106.9,19.9,27/02/2021 12:00,294.090369,,,20.940369
106.9,19.9,28/02/2021 12:00,293.725409,,,20.575409
106.9,19.9,1/03/2021 12:00,293.50382,,,20.35382
106.9,19.9,2/03/2021 12:00,293.05857,,,19.90857
106.9,19.9,3/03/2021 12:00,293.223425,,,20.073425
106.9,19.9,4/03/2021 12:00,293.249121,,,20.099121
106.9,19.9,5/03/2021 12:00,293.620032,,,20.470032
106.9,19.9,6/03/2021 12:00,293.940619,,,20.790619
106.9,19.9,7/03/2021 12:00,293.486212,,,20.336212
106.9,19.9,8/03/2021 12:00,293.880072,,,20.730072
106.9,19.9,9/03/2021 12:00,294.038123,,,20.888123
106.9,19.9,10/03/2021 12:00,294.50019,,,21.35019
106.9,19.9,11/03/2021 12:00,294.24079,,,21.09079
106.9,19.9,12/03/2021 12:00,294.67353,,,21.52353
106.9,19.9,13/03/2021 12:00,294.6081,,,21.4581
106.9,19.9,14/03/2021 12:00,295.130072,,,21.980072
106.9,19.9,15/03/2021 12:00,294.870459,,,21.720459
106.9,19.9,16/03/2021 12:00,295.321478,,,22.171478
106.9,19.9,17/03/2021 12:00,295.156836,,,22.006836
106.9,19.9,18/03/2021 12:00,295.454474,,,22.304474
106.9,19.9,19/03/2021 12:00,295.887,,,22.737
106.9,19.9,20/03/2021 12:00,296.002997,,,22.852997
106.9,19.9,21/03/2021 12:00,296.104102,,,22.954102
106.9,19.9,22/03/2021 12:00,296.128546,,,22.978546
106.9,19.9,23/03/2021 12:00,295.950507,,,22.800507
106.9,19.9,24/03/2021 12:00,295.598914,,,22.448914
106.9,19.9,25/03/2021 12:00,295.114783,,,21.964783
106.9,19.9,26/03/2021 12:00,294.89765,,,21.74765
106.9,19.9,27/03/2021 12:00,294.62702,,,21.47702
106.9,19.9,28/03/2021 12:00,295.021307,,,21.871307
106.9,19.9,29/03/2021 12:00,295.555365,,,22.405365
106.9,19.9,30/03/2021 12:00,295.72022,,,22.57022
106.9,19.9,31/03/2021 12:00,295.60996,,,22.45996
106.9,19.9,1/04/2021 12:00,295.764624,,,22.614624
106.9,19.9,2/04/2021 12:00,295.80094,,,22.65094
106.9,19.9,3/04/2021 12:00,295.975592,,,22.825592
106.9,19.9,4/04/2021 12:00,295.836646,,,22.686646
106.9,19.9,5/04/2021 12:00,296.103247,,,22.953247
106.9,19.9,6/04/2021 12:00,296.248785,,,23.098785
106.9,19.9,7/04/2021 12:00,296.74909,,,23.59909
106.9,19.9,8/04/2021 12:00,296.979376,,,23.829376
106.9,19.9,9/04/2021 12:00,296.748236,,,23.598236
106.9,19.9,10/04/2021 12:00,296.247076,,,23.097076
106.9,19.9,11/04/2021 12:00,296.890143,,,23.740143
106.9,19.9,12/04/2021 12:00,297.522162,,,24.372162
106.9,19.9,13/04/2021 12:00,297.53681,,,24.38681
106.9,19.9,14/04/2021 12:00,297.425269,,,24.275269
106.9,19.9,15/04/2021 12:00,298.115698,,,24.965698
106.9,19.9,16/04/2021 12:00,298.0539,,,24.9039
106.9,19.9,17/04/2021 12:00,298.05921,,,24.90921
106.9,19.9,18/04/2021 12:00,298.232123,,,25.082123
106.9,19.9,19/04/2021 12:00,298.22022,,,25.07022
106.9,19.9,20/04/2021 12:00,298.624518,,,25.474518
106.9,19.9,21/04/2021 12:00,298.658057,,,25.508057
106.9,19.9,22/04/2021 12:00,298.397833,,,25.247833
106.9,19.9,23/04/2021 12:00,298.784033,,,25.634033
106.9,19.9,24/04/2021 12:00,299.325995,,,26.175995
106.9,19.9,25/04/2021 12:00,299.388647,,,26.238647
106.9,19.9,26/04/2021 12:00,299.303473,,,26.153473
106.9,19.9,27/04/2021 12:00,298.987128,,,25.837128
106.9,19.9,28/04/2021 12:00,298.514471,,,25.364471
106.9,19.9,29/04/2021 12:00,298.35874,,,25.20874
106.9,19.9,30/04/2021 12:00,299.241644,,,26.091644
106.9,19.9,1/05/2021 12:00,299.133093,,,25.983093
106.9,19.9,2/05/2021 12:00,299.792914,,,26.642914
106.9,19.9,3/05/2021 12:00,299.952246,,,26.802246
106.9,19.9,4/05/2021 12:00,300.187842,,,27.037842
106.9,19.9,5/05/2021 12:00,300.183173,,,27.033173
106.9,19.9,6/05/2021 12:00,300.351874,,,27.201874
106.9,19.9,7/05/2021 12:00,300.735327,,,27.585327
106.9,19.9,8/05/2021 12:00,300.743811,,,27.593811
106.9,19.9,9/05/2021 12:00,301.225623,,,28.075623
106.9,19.9,10/05/2021 12:00,301.190802,,,28.040802
106.9,19.9,11/05/2021 12:00,301.683234,,,28.533234
106.9,19.9,12/05/2021 12:00,301.731665,,,28.581665
106.9,19.9,13/05/2021 12:00,301.229254,,,28.079254
106.9,19.9,14/05/2021 12:00,301.750555,,,28.600555
106.9,19.9,15/05/2021 12:00,301.882483,,,28.732483
106.9,19.9,16/05/2021 12:00,302.049048,,,28.899048
106.9,19.9,17/05/2021 12:00,301.951971,,,28.801971
106.9,19.9,18/05/2021 12:00,301.533026,,,28.383026
106.9,19.9,19/05/2021 12:00,301.91477,,,28.76477
106.9,19.9,20/05/2021 12:00,302.15824,,,29.00824
106.9,19.9,21/05/2021 12:00,302.004218,,,28.854218
